"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"1"	"GO:0005739"	"mitochondrion"	9	2	0.12	"0.0079"
"2"	"GO:0031974"	"membrane-enclosed lumen"	19	2	0.25	"0.0214"
"3"	"GO:0070013"	"intracellular organelle lumen"	19	2	0.25	"0.0437"
"4"	"GO:0043233"	"organelle lumen"	19	2	0.25	"0.0437"
"5"	"GO:0019867"	"outer membrane"	8	1	0.11	"0.0746"
"6"	"GO:0005737"	"cytoplasm"	40	2	0.53	"0.0885"
"7"	"GO:0005759"	"mitochondrial matrix"	8	2	0.11	"0.1474"
"8"	"GO:0043226"	"organelle"	89	2	1.17	"0.3456"
"9"	"GO:0005622"	"intracellular anatomical structure"	99	2	1.31	"0.4054"
"10"	"GO:0043229"	"intracellular organelle"	89	2	1.17	"0.8073"
"11"	"GO:0016020"	"membrane"	211	2	2.79	"0.9236"
"12"	"GO:0110165"	"cellular anatomical entity"	298	4	3.93	"0.9353"
"13"	"GO:0043231"	"intracellular membrane-bounded organelle"	87	2	1.15	"0.9553"
"14"	"GO:0043227"	"membrane-bounded organelle"	87	2	1.15	"0.9553"
"15"	"GO:0005575"	"cellular_component"	303	4	4	"1.0000"
"16"	"GO:0000123"	"histone acetyltransferase complex"	7	0	0.09	"1.0000"
"17"	"GO:0000228"	"nuclear chromosome"	4	0	0.05	"1.0000"
"18"	"GO:0000785"	"chromatin"	4	0	0.05	"1.0000"
"19"	"GO:0005576"	"extracellular region"	6	0	0.08	"1.0000"
"20"	"GO:0005615"	"extracellular space"	6	0	0.08	"1.0000"
"21"	"GO:0005634"	"nucleus"	56	0	0.74	"1.0000"
"22"	"GO:0005635"	"nuclear envelope"	3	0	0.04	"1.0000"
"23"	"GO:0005654"	"nucleoplasm"	7	0	0.09	"1.0000"
"24"	"GO:0005694"	"chromosome"	4	0	0.05	"1.0000"
"25"	"GO:0005783"	"endoplasmic reticulum"	20	0	0.26	"1.0000"
"26"	"GO:0005789"	"endoplasmic reticulum membrane"	15	0	0.2	"1.0000"
"27"	"GO:0012505"	"endomembrane system"	24	0	0.32	"1.0000"
"28"	"GO:0016021"	"integral component of membrane"	114	0	1.5	"1.0000"
"29"	"GO:0030684"	"preribosome"	3	0	0.04	"1.0000"
"30"	"GO:0031011"	"Ino80 complex"	4	0	0.05	"1.0000"
"31"	"GO:0031090"	"organelle membrane"	17	0	0.22	"1.0000"
"32"	"GO:0031224"	"intrinsic component of membrane"	114	0	1.5	"1.0000"
"33"	"GO:0031248"	"protein acetyltransferase complex"	7	0	0.09	"1.0000"
"34"	"GO:0031967"	"organelle envelope"	4	0	0.05	"1.0000"
"35"	"GO:0031975"	"envelope"	4	0	0.05	"1.0000"
"36"	"GO:0031981"	"nuclear lumen"	11	0	0.15	"1.0000"
"37"	"GO:0031984"	"organelle subcompartment"	15	0	0.2	"1.0000"
"38"	"GO:0032040"	"small-subunit processome"	3	0	0.04	"1.0000"
"39"	"GO:0032991"	"protein-containing complex"	25	0	0.33	"1.0000"
"40"	"GO:0042175"	"nuclear outer membrane-endoplasmic retic..."	15	0	0.2	"1.0000"
"41"	"GO:0043228"	"non-membrane-bounded organelle"	6	0	0.08	"1.0000"
"42"	"GO:0043232"	"intracellular non-membrane-bounded organ..."	6	0	0.08	"1.0000"
"43"	"GO:0070461"	"SAGA-type complex"	5	0	0.07	"1.0000"
"44"	"GO:0070603"	"SWI/SNF superfamily-type complex"	4	0	0.05	"1.0000"
"45"	"GO:0097346"	"INO80-type complex"	4	0	0.05	"1.0000"
"46"	"GO:0098827"	"endoplasmic reticulum subcompartment"	15	0	0.2	"1.0000"
"47"	"GO:0140513"	"nuclear protein-containing complex"	14	0	0.18	"1.0000"
"48"	"GO:0140535"	"intracellular protein-containing complex"	10	0	0.13	"1.0000"
"49"	"GO:1902493"	"acetyltransferase complex"	7	0	0.09	"1.0000"
"50"	"GO:1902494"	"catalytic complex"	12	0	0.16	"1.0000"
"51"	"GO:1904949"	"ATPase complex"	4	0	0.05	"1.0000"
"52"	"GO:1990234"	"transferase complex"	8	0	0.11	"1.0000"
"53"	"GO:1990904"	"ribonucleoprotein complex"	3	0	0.04	"1.0000"
