"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"1"	"GO:0005488"	"binding"	1885	24	19.31	"0.021"
"2"	"GO:0003676"	"nucleic acid binding"	298	10	3.05	"0.024"
"3"	"GO:0016798"	"hydrolase activity, acting on glycosyl b..."	8	1	0.08	"0.033"
"4"	"GO:0097159"	"organic cyclic compound binding"	644	13	6.6	"0.034"
"5"	"GO:1901363"	"heterocyclic compound binding"	644	13	6.6	"0.034"
"6"	"GO:0140096"	"catalytic activity, acting on a protein"	42	1	0.43	"0.132"
"7"	"GO:0043565"	"sequence-specific DNA binding"	4	1	0.04	"0.137"
"8"	"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	182	3	1.86	"0.146"
"9"	"GO:0005524"	"ATP binding"	79	2	0.81	"0.148"
"10"	"GO:0140103"	"catalytic activity, acting on a glycopro..."	7	1	0.07	"0.167"
"11"	"GO:0043168"	"anion binding"	339	3	3.47	"0.251"
"12"	"GO:0003723"	"RNA binding"	60	3	0.61	"0.325"
"13"	"GO:0016410"	"N-acyltransferase activity"	31	1	0.32	"0.337"
"14"	"GO:0016407"	"acetyltransferase activity"	31	1	0.32	"0.337"
"15"	"GO:0016746"	"acyltransferase activity"	94	1	0.96	"0.385"
"16"	"GO:0003677"	"DNA binding"	57	2	0.58	"0.601"
"17"	"GO:0016787"	"hydrolase activity"	239	1	2.45	"0.625"
"18"	"GO:0016740"	"transferase activity"	244	1	2.5	"0.635"
"19"	"GO:0032561"	"guanyl ribonucleotide binding"	103	1	1.06	"0.683"
"20"	"GO:0019001"	"guanyl nucleotide binding"	103	1	1.06	"0.683"
"21"	"GO:0032559"	"adenyl ribonucleotide binding"	222	2	2.27	"0.763"
"22"	"GO:0030554"	"adenyl nucleotide binding"	222	2	2.27	"0.763"
"23"	"GO:0097367"	"carbohydrate derivative binding"	325	3	3.33	"0.810"
"24"	"GO:0005515"	"protein binding"	1001	11	10.25	"0.822"
"25"	"GO:0036094"	"small molecule binding"	346	3	3.54	"0.845"
"26"	"GO:0017076"	"purine nucleotide binding"	325	3	3.33	"0.873"
"27"	"GO:0032553"	"ribonucleotide binding"	325	3	3.33	"0.873"
"28"	"GO:0004553"	"hydrolase activity, hydrolyzing O-glycos..."	7	1	0.07	"0.875"
"29"	"GO:0005525"	"GTP binding"	103	1	1.06	"0.920"
"30"	"GO:0000166"	"nucleotide binding"	340	3	3.48	"0.949"
"31"	"GO:0016747"	"acyltransferase activity, transferring g..."	92	1	0.94	"0.979"
"32"	"GO:0043167"	"ion binding"	537	3	5.5	"0.983"
"33"	"GO:0003824"	"catalytic activity"	617	2	6.32	"0.994"
"34"	"GO:1901265"	"nucleoside phosphate binding"	340	3	3.48	"0.994"
