"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"1"	"GO:0023052"	"signaling"	59	1	0.12	"0.12"
"2"	"GO:0007165"	"signal transduction"	59	1	0.12	"0.17"
"3"	"GO:0051716"	"cellular response to stimulus"	72	1	0.14	"0.18"
"4"	"GO:0007154"	"cell communication"	62	1	0.12	"0.18"
"5"	"GO:0050789"	"regulation of biological process"	112	1	0.22	"0.22"
"6"	"GO:0065007"	"biological regulation"	115	1	0.23	"0.23"
"7"	"GO:0050896"	"response to stimulus"	140	1	0.28	"0.28"
"8"	"GO:0050794"	"regulation of cellular process"	100	1	0.2	"0.28"
"9"	"GO:0035556"	"intracellular signal transduction"	20	1	0.04	"0.34"
"10"	"GO:0009987"	"cellular process"	340	1	0.67	"0.67"
"11"	"GO:0000160"	"phosphorelay signal transduction system"	16	1	0.03	"0.80"
"12"	"GO:0008150"	"biological_process"	509	1	1	"1.00"
"13"	"GO:0000070"	"mitotic sister chromatid segregation"	7	0	0.01	"1.00"
"14"	"GO:0000075"	"cell cycle checkpoint signaling"	4	0	0.01	"1.00"
"15"	"GO:0000105"	"histidine biosynthetic process"	5	0	0.01	"1.00"
"16"	"GO:0000278"	"mitotic cell cycle"	7	0	0.01	"1.00"
"17"	"GO:0000280"	"nuclear division"	7	0	0.01	"1.00"
"18"	"GO:0000819"	"sister chromatid segregation"	7	0	0.01	"1.00"
"19"	"GO:0003333"	"amino acid transmembrane transport"	12	0	0.02	"1.00"
"20"	"GO:0005975"	"carbohydrate metabolic process"	6	0	0.01	"1.00"
"21"	"GO:0006082"	"organic acid metabolic process"	7	0	0.01	"1.00"
"22"	"GO:0006139"	"nucleobase-containing compound metabolic..."	77	0	0.15	"1.00"
"23"	"GO:0006163"	"purine nucleotide metabolic process"	7	0	0.01	"1.00"
"24"	"GO:0006259"	"DNA metabolic process"	12	0	0.02	"1.00"
"25"	"GO:0006281"	"DNA repair"	9	0	0.02	"1.00"
"26"	"GO:0006284"	"base-excision repair"	7	0	0.01	"1.00"
"27"	"GO:0006323"	"DNA packaging"	3	0	0.01	"1.00"
"28"	"GO:0006351"	"transcription, DNA-templated"	28	0	0.06	"1.00"
"29"	"GO:0006352"	"DNA-templated transcription, initiation"	3	0	0.01	"1.00"
"30"	"GO:0006355"	"regulation of transcription, DNA-templat..."	19	0	0.04	"1.00"
"31"	"GO:0006366"	"transcription by RNA polymerase II"	3	0	0.01	"1.00"
"32"	"GO:0006396"	"RNA processing"	22	0	0.04	"1.00"
"33"	"GO:0006397"	"mRNA processing"	9	0	0.02	"1.00"
"34"	"GO:0006399"	"tRNA metabolic process"	5	0	0.01	"1.00"
"35"	"GO:0006412"	"translation"	4	0	0.01	"1.00"
"36"	"GO:0006457"	"protein folding"	19	0	0.04	"1.00"
"37"	"GO:0006464"	"cellular protein modification process"	11	0	0.02	"1.00"
"38"	"GO:0006508"	"proteolysis"	13	0	0.03	"1.00"
"39"	"GO:0006511"	"ubiquitin-dependent protein catabolic pr..."	11	0	0.02	"1.00"
"40"	"GO:0006518"	"peptide metabolic process"	4	0	0.01	"1.00"
"41"	"GO:0006520"	"cellular amino acid metabolic process"	5	0	0.01	"1.00"
"42"	"GO:0006547"	"histidine metabolic process"	5	0	0.01	"1.00"
"43"	"GO:0006629"	"lipid metabolic process"	72	0	0.14	"1.00"
"44"	"GO:0006644"	"phospholipid metabolic process"	10	0	0.02	"1.00"
"45"	"GO:0006650"	"glycerophospholipid metabolic process"	10	0	0.02	"1.00"
"46"	"GO:0006661"	"phosphatidylinositol biosynthetic proces..."	8	0	0.02	"1.00"
"47"	"GO:0006720"	"isoprenoid metabolic process"	7	0	0.01	"1.00"
"48"	"GO:0006725"	"cellular aromatic compound metabolic pro..."	77	0	0.15	"1.00"
"49"	"GO:0006753"	"nucleoside phosphate metabolic process"	7	0	0.01	"1.00"
"50"	"GO:0006790"	"sulfur compound metabolic process"	3	0	0.01	"1.00"
"51"	"GO:0006793"	"phosphorus metabolic process"	20	0	0.04	"1.00"
"52"	"GO:0006796"	"phosphate-containing compound metabolic ..."	20	0	0.04	"1.00"
"53"	"GO:0006807"	"nitrogen compound metabolic process"	119	0	0.23	"1.00"
"54"	"GO:0006810"	"transport"	80	0	0.16	"1.00"
"55"	"GO:0006811"	"ion transport"	4	0	0.01	"1.00"
"56"	"GO:0006820"	"anion transport"	4	0	0.01	"1.00"
"57"	"GO:0006835"	"dicarboxylic acid transport"	4	0	0.01	"1.00"
"58"	"GO:0006865"	"amino acid transport"	12	0	0.02	"1.00"
"59"	"GO:0006886"	"intracellular protein transport"	5	0	0.01	"1.00"
"60"	"GO:0006888"	"endoplasmic reticulum to Golgi vesicle-m..."	3	0	0.01	"1.00"
"61"	"GO:0006900"	"vesicle budding from membrane"	3	0	0.01	"1.00"
"62"	"GO:0006901"	"vesicle coating"	3	0	0.01	"1.00"
"63"	"GO:0006903"	"vesicle targeting"	3	0	0.01	"1.00"
"64"	"GO:0006914"	"autophagy"	4	0	0.01	"1.00"
"65"	"GO:0006950"	"response to stress"	50	0	0.1	"1.00"
"66"	"GO:0006974"	"cellular response to DNA damage stimulus"	9	0	0.02	"1.00"
"67"	"GO:0006996"	"organelle organization"	17	0	0.03	"1.00"
"68"	"GO:0007005"	"mitochondrion organization"	3	0	0.01	"1.00"
